layer,accuracy,energy_ratio,energy_pj
original,0.9866,0.76653564,4198707200000.0
batchnorm2d_1,0.9869,0.78234917,4285307000000.0
batchnorm2d_4,0.9867,0.7872685,4312244200000.0
batchnorm2d_9,0.9866,0.7882821,4317799500000.0
batchnorm2d_14,0.9866,0.7913637,4334668000000.0
batchnorm2d_21,0.9867,0.7927928,4342494300000.0
batchnorm2d_26,0.9867,0.7933216,4345390700000.0
batchnorm2d_33,0.9866,0.7934834,4346275700000.0
batchnorm2d_38,0.9867,0.7950579,4354898400000.0
batchnorm2d_45,0.9866,0.79745674,4368039700000.0
